[FAILED] 2025-07-16 10:00:19 | Attempted User: admin (Administrator) | IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[FAILED] 2025-07-16 10:00:24 | Attempted User: admin (Administrator) | IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[SUCCESS] 2025-07-16 10:01:13 | User: admin (Administrator) | IP: ::1 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[LOGOUT] 2025-07-16 10:02:49 | User: admin (Administrator) | IP: ::1 | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36
[SUCCESS] 2025-07-16 10:03:32 | User: admin (Administrator) | IP: ::1 | Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36
[SUCCESS] 2025-07-16 10:29:40 | User: admin (Administrator) | IP: ::1
[SUCCESS] 2025-07-16 10:29:56 | User: admin (Administrator) | IP: ::1
[SUCCESS] 2025-07-16 10:31:00 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 11:00:28 | User: popescu.testrapid (popescu.testrapid) | IP: ::1
[FAILED] 2025-07-16 11:00:40 | User: popescu.testrapid (popescu.testrapid) | IP: ::1
[FAILED] 2025-07-16 11:01:32 | User: popescu.testrapid (popescu.testrapid) | IP: ::1
[FAILED] 2025-07-16 11:02:13 | User: popescu.testrapid (popescu.testrapid) | IP: ::1
[SUCCESS] 2025-07-16 11:06:59 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 11:29:04 | User: chescu.cozmesti (chescu.cozmesti) | IP: ::1
[SUCCESS] 2025-07-16 11:29:07 | User: admin (Administrator) | IP: ::1
[SUCCESS] 2025-07-16 11:31:34 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[SUCCESS] 2025-07-16 11:32:27 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 11:38:06 | User: test.nou2025 (test.nou2025) | IP: ::1
[FAILED] 2025-07-16 11:38:29 | User: profesor.testfinal (profesor.testfinal) | IP: ::1
[SUCCESS] 2025-07-16 11:40:27 | User: admin (Administrator) | IP: ::1
[SUCCESS] 2025-07-16 11:49:44 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 11:49:59 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[FAILED] 2025-07-16 11:50:02 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[FAILED] 2025-07-16 11:50:44 | User: petre.smardioasa (petre.smardioasa) | IP: ::1
[SUCCESS] 2025-07-16 11:50:50 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 11:53:31 | User: gigitest (gigitest) | IP: ::1
[FAILED] 2025-07-16 11:53:53 | User: popescu.testrapid (popescu.testrapid) | IP: ::1
[FAILED] 2025-07-16 11:54:13 | User: profesor.testfinal (profesor.testfinal) | IP: ::1
[SUCCESS] 2025-07-16 11:54:22 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 11:57:00 | User: petre.smardioasa (petre.smardioasa) | IP: ::1
[FAILED] 2025-07-16 11:59:00 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[SUCCESS] 2025-07-16 11:59:10 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 12:02:00 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[FAILED] 2025-07-16 12:02:18 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[FAILED] 2025-07-16 12:02:42 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[FAILED] 2025-07-16 12:03:31 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[FAILED] 2025-07-16 12:03:37 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[FAILED] 2025-07-16 12:03:48 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[SUCCESS] 2025-07-16 12:05:52 | User: admin (Administrator) | IP: ::1
[FAILED] 2025-07-16 12:06:43 | User: slavu.smardioasa (slavu.smardioasa) | IP: ::1
[SUCCESS] 2025-07-16 12:09:22 | User: slavu.smardioasa (Slavu Lorelai Mihaela) | IP: ::1
[SUCCESS] 2025-07-16 12:09:57 | User: admin (Administrator) | IP: ::1
[SUCCESS] 2025-07-16 12:59:52 | User: calin.perisoru (Călin G. Constantin) | IP: ::1
[SUCCESS] 2025-07-16 13:00:00 | User: admin (Administrator) | IP: ::1
